Time (Hour),Node 0 (Apparent Power; Total),Node 0 (Apparent Power; Critical),Node 0 (Apparent Power; Remaining),Node 0 (Real Power; Total),Node 0 (Real Power; Critical),Node 0 (Real Power; Remaining),Node 0 (Reactive Power; Total),Node 0 (Reactive Power; Critical),Node 0 (Reactive Power; Remaining),Node 1 (Apparent Power; Total),Node 1 (Apparent Power; Critical),Node 1 (Apparent Power; Remaining),Node 1 (Real Power; Total),Node 1 (Real Power; Critical),Node 1 (Real Power; Remaining),Node 1 (Reactive Power; Total),Node 1 (Reactive Power; Critical),Node 1 (Reactive Power; Remaining),Node 2 (Apparent Power; Total),Node 2 (Apparent Power; Critical),Node 2 (Apparent Power; Remaining),Node 2 (Real Power; Total),Node 2 (Real Power; Critical),Node 2 (Real Power; Remaining),Node 2 (Reactive Power; Total),Node 2 (Reactive Power; Critical),Node 2 (Reactive Power; Remaining),Node 3 (Apparent Power; Total),Node 3 (Apparent Power; Critical),Node 3 (Apparent Power; Remaining),Node 3 (Real Power; Total),Node 3 (Real Power; Critical),Node 3 (Real Power; Remaining),Node 3 (Reactive Power; Total),Node 3 (Reactive Power; Critical),Node 3 (Reactive Power; Remaining),Node 4 (Apparent Power; Total),Node 4 (Apparent Power; Critical),Node 4 (Apparent Power; Remaining),Node 4 (Real Power; Total),Node 4 (Real Power; Critical),Node 4 (Real Power; Remaining),Node 4 (Reactive Power; Total),Node 4 (Reactive Power; Critical),Node 4 (Reactive Power; Remaining),Node 5 (Apparent Power; Total),Node 5 (Apparent Power; Critical),Node 5 (Apparent Power; Remaining),Node 5 (Real Power; Total),Node 5 (Real Power; Critical),Node 5 (Real Power; Remaining),Node 5 (Reactive Power; Total),Node 5 (Reactive Power; Critical),Node 5 (Reactive Power; Remaining),Node 6 (Apparent Power; Total),Node 6 (Apparent Power; Critical),Node 6 (Apparent Power; Remaining),Node 6 (Real Power; Total),Node 6 (Real Power; Critical),Node 6 (Real Power; Remaining),Node 6 (Reactive Power; Total),Node 6 (Reactive Power; Critical),Node 6 (Reactive Power; Remaining),Node 7 (Apparent Power; Total),Node 7 (Apparent Power; Critical),Node 7 (Apparent Power; Remaining),Node 7 (Real Power; Total),Node 7 (Real Power; Critical),Node 7 (Real Power; Remaining),Node 7 (Reactive Power; Total),Node 7 (Reactive Power; Critical),Node 7 (Reactive Power; Remaining)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.243327579,0.993684211,0.249643368,1.1811612,0.944,0.2371612,0.388228912,0.310277795,0.077951117,18.24752632,5.263157895,12.98436842,17.33515,5,12.33515,5.697788266,1.643420526,4.05436774,0.512801263,0.263157895,0.249643368,0.4871612,0.25,0.2371612,0.160122143,0.082171026,0.077951117,0.688684211,0.263157895,0.425526316,0.65425,0.25,0.40425,0.215041576,0.082171026,0.13287055
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.185775684,0.993684211,0.192091474,1.1264869,0.944,0.1824869,0.370258339,0.310277795,0.059980543,17.78615789,5.263157895,12.523,16.89685,5,11.89685,5.553726023,1.643420526,3.910305497,0.455249368,0.263157895,0.192091474,0.4324869,0.25,0.1824869,0.14215157,0.082171026,0.059980543,0.603105263,0.263157895,0.339947368,0.57295,0.25,0.32295,0.188319558,0.082171026,0.106148532
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.156560947,0.993684211,0.162876737,1.0987329,0.944,0.1547329,0.36113604,0.310277795,0.050858245,17.41378947,5.263157895,12.15063158,16.5431,5,11.5431,5.43745402,1.643420526,3.794033494,0.426034632,0.263157895,0.162876737,0.4047329,0.25,0.1547329,0.133029271,0.082171026,0.050858245,0.555421053,0.263157895,0.292263158,0.52765,0.25,0.27765,0.173430168,0.082171026,0.091259142
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.138576,0.993684211,0.144891789,1.0816472,0.944,0.1376472,0.355520242,0.310277795,0.045242447,17.14173684,5.263157895,11.87857895,16.28465,5,11.28465,5.352505613,1.643420526,3.709085088,0.408049684,0.263157895,0.144891789,0.3876472,0.25,0.1376472,0.127413473,0.082171026,0.045242447,0.521526316,0.263157895,0.258368421,0.49545,0.25,0.24545,0.16284654,0.082171026,0.080675514
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.141374526,0.993684211,0.147690316,1.0843058,0.944,0.1403058,0.356394082,0.310277795,0.046116286,17.29252632,5.263157895,12.02936842,16.4279,5,11.4279,5.399589611,1.643420526,3.756169086,0.410848211,0.263157895,0.147690316,0.3903058,0.25,0.1403058,0.128287313,0.082171026,0.046116286,0.517210526,0.263157895,0.254052632,0.49135,0.25,0.24135,0.161498935,0.082171026,0.079327909
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.167654632,0.993684211,0.173970421,1.1092719,0.944,0.1652719,0.364600042,0.310277795,0.054322247,18.52294737,5.263157895,13.25978947,17.5968,5,12.5968,5.783788462,1.643420526,4.140367936,0.437128316,0.263157895,0.173970421,0.4152719,0.25,0.1652719,0.136493273,0.082171026,0.054322247,0.511210526,0.263157895,0.248052632,0.48565,0.25,0.23565,0.159625436,0.082171026,0.077454409
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20744,0.993684211,0.213755789,1.147068,0.944,0.203068,0.377023019,0.310277795,0.066745224,19.93121053,5.263157895,14.66805263,18.93465,5,13.93465,6.223518492,1.643420526,4.580097966,0.476913684,0.263157895,0.213755789,0.453068,0.25,0.203068,0.14891625,0.082171026,0.066745224,0.552157895,0.263157895,0.289,0.52455,0.25,0.27455,0.172411247,0.082171026,0.090240221
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.238291474,0.993684211,0.244607263,1.1763769,0.944,0.2323769,0.386656389,0.310277795,0.076378593,19.81042105,5.263157895,14.54726316,18.8199,5,13.8199,6.185801991,1.643420526,4.542381465,0.507765158,0.263157895,0.244607263,0.4823769,0.25,0.2323769,0.15854962,0.082171026,0.076378593,0.584315789,0.263157895,0.321157895,0.5551,0.25,0.3051,0.182452547,0.082171026,0.10028152
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.218735579,0.993684211,0.225051368,1.1577988,0.944,0.2137988,0.380550063,0.310277795,0.070272267,20.00731579,5.263157895,14.74415789,19.00695,5,14.00695,6.247282353,1.643420526,4.603861827,0.488209263,0.263157895,0.225051368,0.4637988,0.25,0.2137988,0.152443294,0.082171026,0.070272267,0.721157895,0.263157895,0.458,0.6851,0.25,0.4351,0.22518148,0.082171026,0.143010454
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.234418737,0.993684211,0.240734526,1.1726978,0.944,0.2286978,0.385447127,0.310277795,0.075169332,21.20363158,5.263157895,15.94047368,20.14345,5,15.14345,6.620831838,1.643420526,4.977411313,0.503892421,0.263157895,0.240734526,0.4786978,0.25,0.2286978,0.157340358,0.082171026,0.075169332,0.771631579,0.263157895,0.508473684,0.73305,0.25,0.48305,0.240941883,0.082171026,0.158770857
